S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
ARGAAA1|ACINDAR|STOCK|A29652|ARG|ARS|ARGAAA1|19961231|20090323
ARGAAA2|ACINDAR IND. (CLASS'A'|STOCK|A29652|ARG|ARS|ARGAAA2|19970918|20090323
ARGAAB1|ALPARGATAS|STOCK|A05344|ARG|ARS|ARGAAB1|19961231|20140107
ARGAAC1|ALUAR ALUMINIO ARGENTI|STOCK|A05422|ARG|ARS|ARGAAC1|19961231|20010729
ARGAAC1|ALUAR ALUMINIO ARG|STOCK|A05422|ARG|ARS|ARGAAC1|20010730|20020508
ARGAAC2|ALUAR ALUMINIO ARGENTI|STOCK|A05422|ARG|ARS|ARGAAC2|19961231|20010729
ARGAAC2|ALUAR ALUMINIO ARG|STOCK|A05422|ARG|ARS|ARGAAC2|20010730|20020513
ARGAAC3|ALUAR ALUMINIO ARG ('C|STOCK|A05422|ARG|ARS|ARGAAC3|20001001|20010729
ARGAAC3|ALUAR ALUMINIO ARG|STOCK|A05422|ARG|ARS|ARGAAC3|20010730|20020509
ARGAAC4|ALUAR ALUMINIO ARG ('A|STOCK|A05422|ARG|ARS|ARGAAC4|19970224|20010729
ARGAAC4|ALUAR ALUMINIO ARG|STOCK|A05422|ARG|ARS|ARGAAC4|20010730|20751231
ARGAAD1|ASTRA|STOCK|A06650|ARG|ARS|ARGAAD1|19961231|20010626
ARGAAE1|ATANOR|STOCK|A06688|ARG|ARS|ARGAAE1|19961231|20040824
ARGAAE3|ATANOR SA ('B'ARS1 MUL|STOCK|A06688|ARG|ARS|ARGAAE3|19980828|20040824
ARGAAG1|CANALE|STOCK|A09663|ARG|ARS|ARGAAG1|19961231|20080909
ARGAAH1|CELULOSA|STOCK|A29659|ARG|ARS|ARGAAH1|19961231|20001031
ARGAAH1|CELULOSA ARGENTINA (OR|STOCK|A29659|ARG|ARS|ARGAAH1|20001101|20751231
ARGAAI1|FERRUM|STOCK|A15878|ARG|ARS|ARGAAI1|19961231|20751231
ARGAAI2|FERRUM SA CERAMICA ('A'ARS0.10)|STOCK|A15878|ARG|ARS|ARGAAI2|20010430|20751231
ARGAAJ1|FIPLASTO|STOCK|A16057|ARG|ARS|ARGAAJ1|19961231|20751231
ARGAAK1|GAROVAGLIO Y ZORRAQUIN|STOCK|A16990|ARG|ARS|ARGAAK1|19961231|20751231
ARGAAL1|INDUPA|STOCK|A35549|ARG|ARS|ARGAAL1|19961231|19981231
